TRUCK_ID,MENU_TYPE_ID,PRIMARY_CITY,REGION,ISO_REGION,COUNTRY,ISO_COUNTRY_CODE,FRANCHISE_FLAG,YEAR,MAKE,MODEL,EV_FLAG,FRANCHISE_ID,TRUCK_OPENING_DATE
125,5,London,Greater London,Greater London,England,GB,1,2014,Ford_,Step Van,0,96,2015-10-01
126,6,London,Greater London,Greater London,England,GB,1,2007,Ford_,Step Van,1,97,2018-02-01
127,7,London,Greater London,Greater London,England,GB,1,2014,Ford_,Step Van,0,98,2015-08-01
128,8,London,Greater London,Greater London,England,GB,1,2001,Freightliner,MT45 Utilimaster,0,99,2015-07-01
129,9,London,Greater London,Greater London,England,GB,0,2010,Ford_,Step Van,1,1,2018-01-01
130,10,London,Greater London,Greater London,England,GB,1,1997,Chevrolet,P30,1,100,2022-04-01
132,12,London,Greater London,Greater London,England,GB,1,2001,Freightliner,MT45 Utilimaster,1,102,2019-01-01
133,13,London,Greater London,Greater London,England,GB,1,2010,Ford_,Step Van,0,103,2018-01-01
134,14,London,Greater London,Greater London,England,GB,1,2009,Ford_,Step Van,1,103,2016-04-01
135,15,London,Greater London,Greater London,England,GB,1,2004,Freightliner,MT45 Utilimaster,0,104,2015-02-01
136,1,Manchester,Greater Manchester,Greater Manchester,England,GB,1,1972,Volkswagen,Westfalia Bus,1,105,2023-01-01
137,2,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2009,Ford_,Step Van,0,106,2015-07-01
138,3,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2004,Freightliner,MT45 Utilimaster,0,107,2015-02-01
139,4,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2000,Freightliner,MT45 Utilimaster,0,108,2015-08-01
140,5,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2008,Custom,Van,0,109,2015-07-01
141,6,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2014,Ford_,Step Van,1,110,2023-01-01
142,7,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2014,Ford_,Step Van,1,110,2019-01-01
143,8,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2014,Ford_,Step Van,1,110,2015-07-01
144,9,Manchester,Greater Manchester,Greater Manchester,England,GB,1,1999,Chevrolet,P30,0,111,2015-02-01
145,10,Manchester,Greater Manchester,Greater Manchester,England,GB,0,2010,Ford_,Step Van,0,1,2015-04-01
146,11,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2004,Freightliner,MT45 Utilimaster,1,112,2018-01-01
147,12,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2004,Freightliner,MT45 Utilimaster,1,112,2019-07-01
148,13,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2014,Ford_,Step Van,0,113,2015-07-01
149,14,Manchester,Greater Manchester,Greater Manchester,England,GB,1,1999,Chevrolet,P30,1,114,2020-01-01
150,15,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2010,Ford_,Step Van,0,115,2015-04-01
151,1,Paris,Île-de-France,Paris,France,FR,1,2008,Custom,Van,1,116,2018-01-01
152,2,Paris,Île-de-France,Paris,France,FR,1,2014,Ford_,Step Van,0,117,2015-02-01
153,3,Paris,Île-de-France,Paris,France,FR,1,2007,Ford_,Step Van,1,118,2017-04-01
154,4,Paris,Île-de-France,Paris,France,FR,1,2014,Ford_,Step Van,0,119,2015-10-01
155,5,Paris,Île-de-France,Paris,France,FR,1,2005,Freightliner,MT45 Utilimaster,1,120,2023-01-01
156,6,Paris,Île-de-France,Paris,France,FR,1,2005,Freightliner,MT45 Utilimaster,0,120,2015-02-01
157,7,Paris,Île-de-France,Paris,France,FR,1,2010,Airstream,Trailer,0,121,2018-10-01
158,8,Paris,Île-de-France,Paris,France,FR,1,2005,Freightliner,MT45 Utilimaster,1,120,2020-07-01
159,9,Paris,Île-de-France,Paris,France,FR,1,2014,Ford_,Step Van,0,122,2015-08-01
160,10,Paris,Île-de-France,Paris,France,FR,1,2005,Freightliner,MT45 Utilimaster,1,120,2018-01-01
161,11,Paris,Île-de-France,Paris,France,FR,0,2012,Ford_,Step Van,0,1,2015-10-01
162,12,Paris,Île-de-France,Paris,France,FR,1,2018,Nissan,NV 2500 High Roof,0,121,2015-07-01
163,13,Paris,Île-de-France,Paris,France,FR,1,2005,Freightliner,MT45 Utilimaster,1,120,2023-01-01
164,14,Paris,Île-de-France,Paris,France,FR,1,2005,Freightliner,MT45 Utilimaster,0,120,2015-08-01
165,15,Paris,Île-de-France,Paris,France,FR,1,2001,Freightliner,MT45 Utilimaster,1,123,2023-01-01
166,1,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2001,Freightliner,MT45 Utilimaster,0,123,2018-10-01
167,2,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2014,Ford_,Step Van,0,124,2015-10-01
168,3,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,1999,Chevrolet,P30,1,125,2023-01-01
169,4,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2012,Ford_,Step Van,1,126,2018-01-01
170,5,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2014,Ford_,Step Van,1,1,2018-10-01
171,6,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2010,Airstream,Trailer,0,127,2015-04-01
172,7,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2005,Freightliner,MT45 Utilimaster,0,128,2015-07-01
173,8,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2005,Freightliner,MT45 Utilimaster,0,128,2015-02-01
174,9,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2010,Airstream,Trailer,0,129,2015-10-01
175,10,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2001,Freightliner,MT45 Utilimaster,1,130,2017-04-01
176,11,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2001,Freightliner,MT45 Utilimaster,0,130,2021-10-01
178,13,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2001,Freightliner,MT45 Utilimaster,1,131,2016-07-01
179,14,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2009,Ford_,Step Van,0,132,2015-10-01
180,15,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2010,Airstream,Trailer,0,133,2015-03-01
181,1,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2005,Freightliner,MT45 Utilimaster,0,134,2022-04-01
182,2,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2010,Ford_,Step Van,1,135,2015-03-01
183,3,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2010,Ford_,Step Van,1,135,2016-01-01
184,4,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2010,Ford_,Step Van,1,135,2015-10-01
185,5,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2010,Ford_,Step Van,1,135,2015-07-01
186,6,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,1999,Chevrolet,P30,1,136,2018-01-01
188,8,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2001,Freightliner,MT45 Utilimaster,0,138,2015-08-01
189,9,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2003,Freightliner,MT45 Utilimaster,0,139,2015-10-01
190,10,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2003,Freightliner,MT45 Utilimaster,0,138,2015-12-01
192,12,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,1999,Chevrolet,P30,1,140,2017-04-01
194,14,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,1974,Volkswagen,Westfalia Bus,0,141,2021-10-01
195,15,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2012,Ford_,Step Van,0,142,2015-07-01
196,1,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2000,Freightliner,MT45 Utilimaster,0,143,2023-01-01
197,2,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2012,Ford_,Step Van,1,144,2022-04-01
198,3,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2012,Ford_,Step Van,1,144,2015-07-01
199,4,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2001,Freightliner,MT45 Utilimaster,0,145,2021-10-01
201,6,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2008,Ford_,Step Van,0,147,2021-10-01
202,7,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2000,Freightliner,MT45 Utilimaster,0,148,2015-08-01
203,8,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2011,Airstream,Trailer,0,149,2015-03-01
204,9,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2012,Ford_,Step Van,1,150,2022-07-01
205,10,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2000,Freightliner,MT45 Utilimaster,0,151,2015-07-01
206,11,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2000,Freightliner,MT45 Utilimaster,0,151,2022-04-01
207,12,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2011,Airstream,Trailer,0,152,2015-03-01
208,13,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,0,2012,Ford_,Step Van,0,1,2015-07-01
209,14,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2010,Custom,Van,0,153,2021-10-01
210,15,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,1999,Chevrolet,P30,0,154,2015-03-01
211,1,Mumbai,Maharashtra,Maharashtra,India,IN,1,2009,Freightliner,MT45 Utilimaster,1,155,2022-04-01
212,2,Mumbai,Maharashtra,Maharashtra,India,IN,1,2009,Freightliner,MT45 Utilimaster,1,155,2016-01-01
214,4,Mumbai,Maharashtra,Maharashtra,India,IN,1,2009,Ford_,Step Van,1,156,2020-07-01
215,5,Mumbai,Maharashtra,Maharashtra,India,IN,1,2006,Freightliner,MT45 Utilimaster,0,157,2015-04-01
216,6,Mumbai,Maharashtra,Maharashtra,India,IN,1,2006,Freightliner,MT45 Utilimaster,0,157,2015-03-01
217,7,Mumbai,Maharashtra,Maharashtra,India,IN,1,2000,Freightliner,MT45 Utilimaster,1,158,2017-01-01
218,8,Mumbai,Maharashtra,Maharashtra,India,IN,1,2011,Airstream,Trailer,0,159,2015-07-01
219,9,Mumbai,Maharashtra,Maharashtra,India,IN,1,1972,Volkswagen,Westfalia Bus,1,160,2017-01-01
220,10,Mumbai,Maharashtra,Maharashtra,India,IN,1,1999,Chevrolet,P30,1,161,2016-04-01
221,11,Mumbai,Maharashtra,Maharashtra,India,IN,1,2008,Custom,Box Truck,0,162,2015-03-01
222,12,Mumbai,Maharashtra,Maharashtra,India,IN,1,2005,Freightliner,MT45 Utilimaster,0,163,2015-07-01
223,13,Mumbai,Maharashtra,Maharashtra,India,IN,1,1997,Chevrolet,P30,1,164,2016-01-01
225,15,Mumbai,Maharashtra,Maharashtra,India,IN,1,1997,Chevrolet,P30,1,165,2023-01-01
226,1,Delhi,Delhi,Delhi,India,IN,1,2001,Freightliner,MT45 Utilimaster,1,167,2022-04-01
227,2,Delhi,Delhi,Delhi,India,IN,1,2014,Ford_,Step Van,0,168,2015-03-01
228,3,Delhi,Delhi,Delhi,India,IN,1,2004,Freightliner,MT45 Utilimaster,0,169,2015-07-01
229,4,Delhi,Delhi,Delhi,India,IN,1,2009,Freightliner,MT45 Utilimaster,1,170,2018-01-01
230,5,Delhi,Delhi,Delhi,India,IN,1,2004,Freightliner,MT45 Utilimaster,0,169,2015-10-01
232,7,Delhi,Delhi,Delhi,India,IN,1,2015,Ford_,Step Van,1,171,2021-10-01
233,8,Delhi,Delhi,Delhi,India,IN,1,2004,Freightliner,MT45 Utilimaster,0,172,2015-07-01
234,9,Delhi,Delhi,Delhi,India,IN,1,1997,Chevrolet,P30,0,173,2015-03-01
235,10,Delhi,Delhi,Delhi,India,IN,1,2015,Airstream,Trailer,0,174,2022-04-01
236,11,Delhi,Delhi,Delhi,India,IN,1,2003,Freightliner,MT45 Utilimaster,0,175,2023-10-01
237,12,Delhi,Delhi,Delhi,India,IN,1,2008,Custom,Van,0,176,2015-10-01
238,13,Delhi,Delhi,Delhi,India,IN,1,1999,Chevrolet,P30,0,177,2015-12-01
240,15,Delhi,Delhi,Delhi,India,IN,0,2015,Ford_,Step Van,1,1,2015-12-01
241,1,Tokyo,Kantō,Tokyo,Japan,JP,0,2015,Ford_,Step Van,1,1,2018-01-01
242,2,Tokyo,Kantō,Tokyo,Japan,JP,1,1997,Chevrolet,P30,0,179,2015-04-01
243,3,Tokyo,Kantō,Tokyo,Japan,JP,1,2010,Custom,Van,1,180,2018-01-01
244,4,Tokyo,Kantō,Tokyo,Japan,JP,1,2014,Ford_,Step Van,0,181,2023-01-01
245,5,Tokyo,Kantō,Tokyo,Japan,JP,1,2014,Ford_,Step Van,0,181,2021-10-01
247,7,Tokyo,Kantō,Tokyo,Japan,JP,1,2005,Freightliner,MT45 Utilimaster,1,182,2023-01-01
248,8,Tokyo,Kantō,Tokyo,Japan,JP,1,2000,Freightliner,MT45 Utilimaster,0,183,2015-12-01
249,9,Tokyo,Kantō,Tokyo,Japan,JP,1,2004,Freightliner,MT45 Utilimaster,0,184,2015-08-01
1,1,San Mateo,California,CA,United States,US,0,2009,Ford_,Step Van,0,1,2014-12-29
11,11,San Mateo,California,CA,United States,US,1,2013,Ford_,Step Van,0,10,2014-12-29
18,3,Denver,Colorado,CO,United States,US,1,2008,Custom,Box Truck,0,15,2014-12-29
51,6,Boston,Massachusetts,MA,United States,US,1,2012,Custom,Box Truck,0,41,2014-12-29
55,10,Boston,Massachusetts,MA,United States,US,1,2000,Freightliner,MT45 Utilimaster,0,45,2014-12-29
67,7,New York City,New York,NY,United States,US,1,2009,Ford_,Step Van,0,54,2014-12-29
73,13,New York City,New York,NY,United States,US,1,2004,Freightliner,MT45 Utilimaster,0,58,2014-12-29
79,4,Toronto,Ontario,ON,Canada,CA,1,2010,Airstream,Trailer,0,62,2014-12-29
81,6,Toronto,Ontario,ON,Canada,CA,0,2009,Ford_,Step Van,0,1,2014-12-29
87,12,Toronto,Ontario,ON,Canada,CA,1,2009,Ford_,Step Van,1,66,2014-12-29
89,14,Toronto,Ontario,ON,Canada,CA,1,2001,Freightliner,MT45 Utilimaster,0,68,2014-12-29
94,4,Vancouver,British Columbia,BC,Canada,CA,1,2000,Freightliner,MT45 Utilimaster,0,73,2014-12-29
97,7,Vancouver,British Columbia,BC,Canada,CA,0,2009,Ford_,Step Van,0,1,2014-12-29
101,11,Vancouver,British Columbia,BC,Canada,CA,1,2008,Custom,Box Truck,0,78,2014-12-29
104,14,Vancouver,British Columbia,BC,Canada,CA,1,2002,Freightliner,MT45 Utilimaster,0,80,2014-12-29
109,4,Montreal,Quebec,QC,Canada,CA,1,2008,Custom,Box Truck,0,84,2014-12-29
113,8,Montreal,Quebec,QC,Canada,CA,0,2009,Ford_,Step Van,0,1,2014-12-29
116,11,Montreal,Quebec,QC,Canada,CA,1,1997,Chevrolet,P30,0,90,2014-12-29
131,11,London,Greater London,Greater London,England,GB,1,2010,Custom,Van,0,101,2014-12-29
177,12,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,0,2012,Ford_,Step Van,0,1,2014-12-29
187,7,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2012,Ford_,Step Van,0,137,2014-12-29
191,11,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2001,Freightliner,MT45 Utilimaster,0,139,2014-12-29
193,13,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,0,2012,Ford_,Step Van,0,1,2014-12-29
200,5,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2005,Freightliner,MT45 Utilimaster,0,146,2014-12-29
213,3,Mumbai,Maharashtra,Maharashtra,India,IN,1,2009,Freightliner,MT45 Utilimaster,1,155,2014-12-29
224,14,Mumbai,Maharashtra,Maharashtra,India,IN,0,2012,Ford_,Step Van,0,1,2014-12-29
231,6,Delhi,Delhi,Delhi,India,IN,1,2009,Freightliner,MT45 Utilimaster,1,170,2014-12-29
239,14,Delhi,Delhi,Delhi,India,IN,1,2003,Freightliner,MT45 Utilimaster,0,178,2014-12-29
246,6,Tokyo,Kantō,Tokyo,Japan,JP,1,2014,Ford_,Step Van,0,181,2014-12-29
250,10,Tokyo,Kantō,Tokyo,Japan,JP,1,2010,Custom,Van,0,185,2014-12-29
251,11,Tokyo,Kantō,Tokyo,Japan,JP,1,2005,Freightliner,MT45 Utilimaster,1,186,2016-01-01
252,12,Tokyo,Kantō,Tokyo,Japan,JP,1,2014,Ford_,Step Van,0,187,2015-10-01
253,13,Tokyo,Kantō,Tokyo,Japan,JP,1,2010,Freightliner,MT45 Utilimaster,1,188,2023-02-01
